TEXTURE_USDA,TEXTURE_USDA_OLD, description_eng, description_idn, code_id, texture_kemtan,Color
1,1, clay (heavy), liat, C, sh,#d5c36b
2,2, silty clay, liat berdebu, SC, h,#b96947
5,4, silty clay loam,lempung liat berpasir, SCL, ah,#9d3706
4,5, clay loam, lempung berliat, CL, ah,#ae868f
10,6, silt, debu, Si, s,#f86714
8,7, silty loam, lempung berdebu, SiL, s,#46d143
3,8, sandy clay, liat berpasir, SC, h,#368f20
7,9, loam, lempung, L, s,#3e5a14
6,10, sandy clay loam, lempung liat berpasir, SCL, ah,#ffd557
9,11, sandy loam, lempung berpasir, SL, ak,#fff72e
11,12, loamy sand, pasir berlempung, LS, k,#ff5a9d
12,13, sand, pasir, S, k,#ff005b